account,date,total_pnl,total_volume,total_fee,trade_count,buy_count,sell_count,avg_exec_price,coins_traded,net_pnl,buy_ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,5616220.88,704.19937,531,111,420,1470.9998116760828,2,374916.070873,0.209
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,5582863.31,700.101577,210,78,132,2727.8599999999997,1,43700.804223,0.3714
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,1432708.93,0.0,141,132,9,2668.6843971631206,1,30897.0887,0.9362
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,1537560.0,0.0,48,16,32,2563.133333333333,1,55086.0,0.3333
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,807600.01,0.0,6,0,6,2692.0,1,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,1603504.46,561.226533,59,31,28,2672.2118644067796,1,9590.895707,0.5254
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,2898197.14,555.888761,219,93,126,2556.850228310502,1,114889.506777,0.4247
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,1372739.97,137.273975,55,1,54,2291.658181818182,1,115149.726025,0.0182
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,134360.89,6.71802,45,36,9,2262.84,1,9475.503421,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,5365898.24,268.294625,641,540,101,1773.83503900156,2,533706.368278,0.8424
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,398200.0,39.819998,5,4,1,1988.0,1,40160.180002,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,666240.85,66.62407,31,31,0,1570.1,1,307789.17934,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,135847.3,34.68082399,55,8,47,6.429436363636363,1,11681.26240601,0.1455
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.06,0.0,1,0,1,8.4961,1,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,48513.58,1.31668822,34,34,0,12.89264705882353,1,-1.31668822,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,52028.630000000005,5.2028479999999995,26,0,26,13.834769230769231,1,3509.828217,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,52066.88,1.4383267,46,46,0,12.666630434782608,1,-1.4383267,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,54584.72,19.104602,64,0,64,13.295171875,1,2498.682783,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,112897.91,20.81460217,59,44,15,25.3105593220339,1,1592.3513008300001,0.7458
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.11,0.0,1,0,1,23.218,1,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,341740.77999999997,119.60926,34,13,21,3419.744117647059,1,1125.9092500000002,0.3824
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,36997.54,61.51029,13,13,0,0.21101615384615385,1,-61.51029,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,41490.68,14.521732,17,0,17,0.23652647058823528,1,4478.710747,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,84021.26999999999,89.144541,39,10,29,0.20038615384615385,1,957.886451,0.2564
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,272092.55,124.96169717000001,124,43,81,12.769497177419355,2,4717.09261983,0.3468
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,588968.28,108.05738221,339,141,198,21.914014749262535,1,1585.43578279,0.4159
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,129509.91,24.25559825,54,50,4,22.171888888888887,1,4196.900800750001,0.9259
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,66856.49,1.05928092,44,44,0,22.09409090909091,1,-1.05928092,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,73755.74,25.814472,56,0,56,24.378160714285713,1,6873.4313600000005,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,73735.48,1.16815524,46,46,0,22.091217391304347,1,-1.16815524,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,81107.93000000001,28.387735,55,0,55,24.307618181818185,1,7344.097366,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,163388.11,29.90369878,78,53,25,25.753333333333334,1,1132.09884222,0.6795
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,1443682.0,487.25693852,517,270,247,266.39394485493233,4,5865.19567448,0.5222
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,75901.55,26.565471000000002,124,0,124,0.13790112903225807,1,-12373.5563,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,427297.12,149.553903,159,31,128,2590.9266105660377,2,206.031497,0.195
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,262595.6,34.19572673,160,108,52,21.82584375,1,1095.6531992700002,0.675
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,82910.81,29.018782,1,0,1,20.222,1,-6849.788332,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,76066.87,1.35322108,52,52,0,19.67671153846154,1,-1.35322108,1.0
